workload,config,completed,instructions,cycles,ipc,speedup_vs_no_pref,dcache_hit,dcache_miss,dcache_miss_rate,dcache_miss_reduction_vs_no_pref,mlc_hit,mlc_miss,mlc_miss_rate,mlc_miss_reduction_vs_no_pref,pref_issued,pref_useful,pref_accuracy,pref_coverage_vs_no_pref,bop_pref_issued,bop_rr_fill_updates,bop_rr_hit_score_inc,bop_phase_on,bop_phase_off,bop_dropped_page
500.perlbench_r,stride,1.0,5000000.0,2433191.0,2.0549147189842474,1.0,2520968.0,20725.0,0.00815401387972505,0.0,145.0,9653.0,0.9852010614411104,0.0,221.0,13.0,0.058823529411764705,0.0006272617611580218,0.0,0.0,0.0,0.0,0.0,0.0
500.perlbench_r,bop,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,2.0,0.0,146.0
502.gcc_r,no_pref,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,62165.0,4860052.0,0.9873705283615086,0.0,567.0,78670.0,0.9928442520539646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502.gcc_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502.gcc_r,stream,1.0,5000000.0,5233535.0,0.9553771972481315,0.9998758009643578,744055.0,4178199.0,0.8488385605456362,0.14029747006822146,573.0,78642.0,0.9927665214921416,0.0003559171221558799,77042.0,75906.0,0.9852547960852522,0.015618351408585751,0.0,0.0,0.0,0.0,0.0,0.0
502.gcc_r,stride,1.0,5000000.0,5233533.0,0.9553775623465066,0.9998761830679199,731056.0,4191142.0,0.8514777341342221,0.13763432983844615,568.0,76386.0,0.9926189671751956,0.029032668107283555,75726.0,73142.0,0.9658769775242321,0.015049633213801004,0.0,0.0,0.0,0.0,0.0,0.0
502.gcc_r,bop,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,0.0,14.0,81.0
507.cactuBSSN_r,no_pref,1.0,5000000.0,5014300.0,0.9971481562730591,1.0,532.0,4998520.0,0.9998935798227344,0.0,3.0,78236.0,0.9999616559516353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507.cactuBSSN_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507.cactuBSSN_r,stream,1.0,5000000.0,5015012.0,0.9970065874219244,0.9998580262619511,703182.0,4295870.0,0.8593369302819814,0.14057160919632206,2.0,78203.0,0.9999744261875839,0.000421800705557529,78299.0,78052.0,0.9968454258675079,0.015615022046525772,0.0,0.0,0.0,0.0,0.0,0.0
507.cactuBSSN_r,stride,1.0,5000000.0,5015188.0,0.9969715990706629,0.999822937844005,687775.0,4311277.0,0.8624189146262131,0.13748929683186228,2.0,75439.0,0.9999734892167389,0.03575080525589247,77525.0,74610.0,0.962399226056111,0.014926418219793059,0.0,0.0,0.0,0.0,0.0,0.0
507.cactuBSSN_r,bop,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,0.0,15.0,79.0
520.omnetpp_r,no_pref,1.0,5000000.0,5248612.0,0.9526328103506222,1.0,2207880.0,196353.0,0.08166970505770448,0.0,32213.0,57361.0,0.6403755554067029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.omnetpp_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.omnetpp_r,stream,1.0,5000000.0,5251292.0,0.952146633628448,0.9994896494043751,2205936.0,197843.0,0.08230498727212443,-0.007588373999887876,32206.0,57063.0,0.6392252629692279,0.0051951674482662025,33377.0,5128.0,0.15363873325943014,0.026116229443909695,0.0,0.0,0.0,0.0,0.0,0.0
520.omnetpp_r,stride,1.0,5000000.0,5246172.0,0.9530758808517906,1.0004651010298558,2207914.0,196342.0,0.08166434855522872,5.602155301931422e-05,32210.0,57356.0,0.6403769287452828,8.716723906487811e-05,169.0,94.0,0.5562130177514792,0.00047872963489226035,0.0,0.0,0.0,0.0,0.0,0.0
520.omnetpp_r,bop,1.0,5000000.0,5181132.0,0.9650400723239632,1.0130241808160843,2206666.0,196852.0,0.08190161255293282,-0.0025413413596939716,32195.0,56385.0,0.6365432377511854,0.017015045065462586,48279.0,8593.0,0.17798628803413494,0.043763018644991415,48279.0,33634.0,741.0,9.0,0.0,1484.0
