workload,config,completed,instructions,cycles,ipc,speedup_vs_no_pref,speedup_vs_bop_default,dcache_hit,dcache_miss,dcache_miss_rate,dcache_miss_reduction_vs_no_pref,mlc_hit,mlc_miss,mlc_miss_rate,mlc_miss_reduction_vs_no_pref,pref_issued,pref_useful,pref_accuracy,pref_coverage_vs_no_pref,bop_pref_issued,bop_rr_fill_updates,bop_rr_hit_score_inc,bop_phase_complete,bop_phase_on,bop_phase_off,bop_phase_on_ratio,bop_dropped_page,bop_dropped_page_ratio,bop_test_offset_events,bop_rr_hit_score_rate,bop_inflight_insert,bop_inflight_miss
500.perlbench_r,bad_0,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,bad_2,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,bad_4,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,bop_default,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,no_pref,1.0,5000000.0,2433191.0,2.0549147189842474,1.0,0.9059617596810113,2520968.0,20725.0,0.00815401387972505,0.0,145.0,9653.0,0.9852010614411104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.perlbench_r,off_all_128,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,167.0,1.0,1.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.01740671252866375,9448.0,2.0
500.perlbench_r,off_all_32,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,641.0,3.0,3.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.0668125912028351,9448.0,2.0
500.perlbench_r,off_all_64,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,326.0,1.0,1.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.03397957056493642,9448.0,2.0
500.perlbench_r,off_prime_128,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,468.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.04878048780487805,9448.0,2.0
500.perlbench_r,off_prime_512,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,248.0,1.0,1.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.02584948926412341,9448.0,2.0
500.perlbench_r,off_prime_64,1.0,5000000.0,2210775.0,2.2616503262430596,1.1006054437923354,0.9971064445726046,2520974.0,20719.0,0.008151653248445032,0.0002895054282268106,152.0,9517.0,0.9842796566346055,0.01408888428467836,9411.0,3204.0,0.34045266177876954,0.1545958986731001,9411.0,8251.0,658.0,4.0,4.0,0.0,1.0,182.0,0.01897216720525383,9593.0,0.06859168143437923,9411.0,2.0
500.perlbench_r,round_200,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,round_50,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,3.0,3.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,rr_1024,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,329.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.03429226599958307,9448.0,2.0
500.perlbench_r,rr_128,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,304.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.031686470710860955,9448.0,2.0
500.perlbench_r,rr_512,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,321.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.033458411507192,9448.0,2.0
500.perlbench_r,rr_64,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,284.0,2.0,2.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.029601834479883262,9448.0,2.0
500.perlbench_r,score_15,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,4.0,4.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
500.perlbench_r,score_63,1.0,5000000.0,2204378.0,2.268213527806937,1.1037993483876178,1.0,2520975.0,20718.0,0.008151259809898363,0.000337756332931205,152.0,9531.0,0.98430238562429,0.01263855796125557,9448.0,3315.0,0.3508679085520745,0.15995174909529553,9448.0,8238.0,312.0,1.0,1.0,0.0,1.0,146.0,0.01521784448613717,9594.0,0.032520325203252036,9448.0,2.0
502.gcc_r,bad_0,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,14.0,0.0,14.0,0.0,81.0,0.015579919215233698,77895.0,0.0,5118.0,0.0
502.gcc_r,bad_2,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,14.0,0.0,14.0,0.0,81.0,0.015579919215233698,77895.0,0.0,5118.0,0.0
502.gcc_r,bad_4,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,14.0,0.0,14.0,0.0,81.0,0.015579919215233698,77895.0,0.0,5118.0,0.0
502.gcc_r,bop_default,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,14.0,0.0,14.0,0.0,81.0,0.015579919215233698,77895.0,0.0,5118.0,0.0
502.gcc_r,no_pref,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,62165.0,4860052.0,0.9873705283615086,0.0,567.0,78670.0,0.9928442520539646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502.gcc_r,off_all_128,1.0,5000000.0,5232197.0,0.955621510428602,1.000131493519835,1.000131493519835,143995.0,4778192.0,0.97074572745814,0.016843441181287777,564.0,72813.0,0.9923136677705549,0.07445023515952709,12606.0,288.0,0.02284626368396002,5.925862521635571e-05,12606.0,424.0,3.0,6.0,0.0,6.0,0.0,193.0,0.015079303070552387,78882.0,3.803149007378109e-05,12606.0,1.0
502.gcc_r,off_all_32,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,82110.0,4840107.0,0.9833184924598001,0.004103865555347919,567.0,77185.0,0.9927075830846795,0.018876318800050806,3147.0,0.0,0.0,0.0,3147.0,0.0,0.0,24.0,0.0,24.0,0.0,52.0,0.01625507971241013,77607.0,0.0,3147.0,0.0
502.gcc_r,off_all_64,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,103089.0,4819128.0,0.9790563886151301,0.008420486035951913,567.0,75681.0,0.9925637393767706,0.03799415279013596,6302.0,0.0,0.0,0.0,6302.0,0.0,0.0,12.0,0.0,12.0,0.0,97.0,0.01515861853414596,78059.0,0.0,6302.0,0.0
502.gcc_r,off_prime_128,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,87741.0,4834476.0,0.9821744957607517,0.005262495133796952,567.0,76837.0,0.992674797168105,0.023299860175416298,3737.0,0.0,0.0,0.0,3737.0,0.0,0.0,20.0,0.0,20.0,0.0,62.0,0.016320084232692815,77692.0,0.0,3737.0,0.0
502.gcc_r,off_prime_512,1.0,5000000.0,5232925.0,0.9554885651905961,0.9999923560914785,0.9999923560914785,104178.0,4818020.0,0.9788350651477247,0.008648467135742632,570.0,75592.0,0.9925159528373729,0.039125460785559896,6696.0,91.0,0.013590203106332138,1.8724079495445727e-05,6696.0,111.0,11.0,11.0,0.0,11.0,0.0,103.0,0.015149286659802912,78103.0,0.00014083966044838226,6696.0,1.0
502.gcc_r,off_prime_64,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,77244.0,4844973.0,0.9843070713867349,0.003102641700129971,567.0,77486.0,0.9927357052259362,0.015050209736875542,2657.0,0.0,0.0,0.0,2657.0,0.0,0.0,28.0,0.0,28.0,0.0,42.0,0.015561319007039644,77543.0,0.0,2657.0,0.0
502.gcc_r,round_200,1.0,5000000.0,5232197.0,0.955621510428602,1.000131493519835,1.000131493519835,121862.0,4800325.0,0.9752423059099542,0.01228937468158775,564.0,74217.0,0.9924579772936976,0.05660353374856997,10248.0,288.0,0.02810304449648712,5.925862521635571e-05,10248.0,424.0,14.0,7.0,0.0,7.0,0.0,151.0,0.014520626983363785,78541.0,0.0001782508498745878,10248.0,1.0
502.gcc_r,round_50,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,75877.0,4846340.0,0.9845847917716752,0.0028213689894676097,567.0,77565.0,0.9927430502227,0.01404601499936442,2559.0,0.0,0.0,0.0,2559.0,0.0,0.0,29.0,0.0,29.0,0.0,40.0,0.015390534821085032,77523.0,0.0,2559.0,0.0
502.gcc_r,rr_1024,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,14.0,0.0,14.0,0.0,81.0,0.015579919215233698,77895.0,0.0,5118.0,0.0
502.gcc_r,rr_128,1.0,5000000.0,5232885.0,0.9554958689136107,1.0,1.0,97896.0,4824321.0,0.9801114010211253,0.007351978950019489,567.0,76136.0,0.9926078510618881,0.03221049955510358,5118.0,0.0,0.0,0.0,5118.0,0.0,0.0,14.0,0.0,14.0,0.0,81.0,0.015579919215233698,77895.0,0.0,5118.0,0.0
